-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.025
-183.800, 80.200, 0.000,  0.092
-183.800, 80.201, -0.014,  0.159
-183.800, 80.201, -0.010,  0.226
-183.800, 80.201, -0.004,  0.293
-183.800, 80.201, 0.006,  0.360
-183.800, 80.199, 0.028,  0.427
-183.799, 80.187, 0.242,  0.494
-183.797, 80.164, 0.386,  0.561
-183.794, 80.124, 0.735,  0.628
-183.789, 80.054, 1.172,  0.695
-183.781, 79.959, 1.520,  0.762
-183.773, 79.844, 1.809,  0.829
-183.763, 79.713, 2.034,  0.896
-183.752, 79.572, 2.176,  0.963
-183.740, 79.426, 2.221,  1.030
-183.728, 79.281, 2.185,  1.097
-183.717, 79.141, 2.107,  1.164
-183.705, 79.007, 2.021,  1.231
-183.694, 78.877, 1.949,  1.298
-183.682, 78.751, 1.901,  1.365
-183.671, 78.626, 1.878,  1.432
-183.659, 78.502, 1.878,  1.499
-183.647, 78.376, 1.896,  1.566
-183.635, 78.249, 1.924,  1.633
-183.623, 78.120, 1.952,  1.700
-183.610, 77.989, 1.974,  1.767
-183.597, 77.858, 1.986,  1.834
-183.584, 77.726, 1.990,  1.901
-183.571, 77.594, 1.986,  1.968
-183.558, 77.463, 1.978,  2.035
-183.545, 77.332, 1.970,  2.102
-183.532, 77.201, 1.965,  2.169
-183.519, 77.071, 1.963,  2.236
-183.506, 76.941, 1.967,  2.303
-183.493, 76.810, 1.974,  2.370
-183.480, 76.679, 1.984,  2.437
-183.467, 76.547, 1.995,  2.504
-183.454, 76.414, 2.005,  2.571
-183.440, 76.280, 2.015,  2.638
-183.427, 76.146, 2.024,  2.705
-183.414, 76.012, 2.031,  2.772
-183.400, 75.877, 2.038,  2.839
-183.387, 75.741, 2.045,  2.906
-183.374, 75.605, 2.052,  2.973
-183.361, 75.468, 2.061,  3.040
-183.347, 75.331, 2.070,  3.107
-183.334, 75.194, 2.080,  3.174
-183.321, 75.055, 2.090,  3.241
-183.307, 74.916, 2.101,  3.308
-183.294, 74.776, 2.112,  3.375
-183.281, 74.635, 2.124,  3.442
-183.268, 74.494, 2.135,  3.509
-183.255, 74.352, 2.146,  3.576
-183.242, 74.209, 2.158,  3.643
-183.229, 74.065, 2.170,  3.710
-183.216, 73.920, 2.182,  3.777
-183.203, 73.775, 2.194,  3.844
-183.190, 73.629, 2.206,  3.911
-183.177, 73.482, 2.219,  3.978
-183.164, 73.334, 2.232,  4.045
-183.152, 73.185, 2.245,  4.112
-183.139, 73.035, 2.258,  4.179
-183.126, 72.885, 2.271,  4.246
-183.114, 72.733, 2.285,  4.313
-183.101, 72.581, 2.299,  4.380
-183.089, 72.427, 2.313,  4.447
-183.077, 72.273, 2.327,  4.514
-183.064, 72.118, 2.341,  4.581
-183.052, 71.962, 2.355,  4.648
-183.040, 71.805, 2.369,  4.715
-183.028, 71.646, 2.384,  4.782
-183.016, 71.487, 2.399,  4.849
-183.004, 71.327, 2.414,  4.916
-182.992, 71.166, 2.429,  4.983
-182.981, 71.004, 2.444,  5.050
-182.969, 70.841, 2.459,  5.117
-182.958, 70.677, 2.475,  5.184
-182.946, 70.511, 2.491,  5.251
-182.935, 70.345, 2.507,  5.318
-182.924, 70.178, 2.523,  5.385
-182.912, 70.009, 2.539,  5.452
-182.901, 69.840, 2.555,  5.519
-182.890, 69.669, 2.571,  5.586
-182.879, 69.497, 2.588,  5.653
-182.868, 69.324, 2.604,  5.720
-182.858, 69.150, 2.621,  5.787
-182.847, 68.975, 2.638,  5.854
-182.837, 68.799, 2.655,  5.921
-182.826, 68.621, 2.672,  5.988
-182.816, 68.443, 2.690,  6.055
-182.805, 68.263, 2.707,  6.122
-182.795, 68.082, 2.725,  6.189
-182.785, 67.900, 2.743,  6.256
-182.775, 67.717, 2.761,  6.323
-182.765, 67.532, 2.779,  6.390
-182.755, 67.346, 2.797,  6.457
-182.746, 67.159, 2.815,  6.524
-182.736, 66.971, 2.834,  6.591
-182.726, 66.782, 2.853,  6.658
-182.717, 66.591, 2.871,  6.725
-182.708, 66.399, 2.890,  6.792
-182.698, 66.206, 2.909,  6.859
-182.689, 66.011, 2.929,  6.926
-182.680, 65.815, 2.948,  6.993
-182.671, 65.618, 2.968,  7.060
-182.662, 65.419, 2.987,  7.127
-182.653, 65.220, 3.007,  7.194
-182.645, 65.019, 3.027,  7.261
-182.636, 64.816, 3.047,  7.328
-182.627, 64.612, 3.067,  7.395
-182.619, 64.407, 3.087,  7.462
-182.610, 64.201, 3.108,  7.529
-182.602, 63.993, 3.129,  7.596
-182.594, 63.783, 3.149,  7.663
-182.586, 63.573, 3.170,  7.730
-182.578, 63.361, 3.191,  7.797
-182.570, 63.147, 3.212,  7.864
-182.562, 62.932, 3.234,  7.931
-182.554, 62.716, 3.256,  7.998
-182.546, 62.498, 3.277,  8.065
-182.538, 62.279, 3.299,  8.132
-182.531, 62.058, 3.321,  8.199
-182.523, 61.836, 3.343,  8.266
-182.516, 61.612, 3.365,  8.333
-182.508, 61.387, 3.388,  8.400
-182.501, 61.160, 3.410,  8.467
